URI,skos:prefLabel,skos:definition,skos:broader,skos:notation
https://vocabularies.dans.knaw.nl/collections/ssh/VerkrachtingTroost,GV: Verkrachting en Troost,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Verkrachting en Troost'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VerkrachtingTroost
https://vocabularies.dans.knaw.nl/collections/ssh/VluchtenOverloon,GV: Vluchten uit Overloon op last van de bezetter,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Vluchten uit Overloon op last van de bezetter'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VluchtenOverloon
https://vocabularies.dans.knaw.nl/collections/ssh/VluchtenVenray,GV: Vluchten uit Venray op aandrang van Brits Gezag,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Vluchten uit Venray op aandrang van Brits Gezag'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VluchtenVenray
https://vocabularies.dans.knaw.nl/collections/ssh/volkstellingen,Volkstellingen 1795-1971,"Thematic collection: Dutch censuses 1795-1971,Thematische collectie: Volkstellingen 1795-1971",https://vocabularies.dans.knaw.nl/collections/Project,volkstellingen
https://vocabularies.dans.knaw.nl/collections/ssh/VrouwenBesluitvorming,Vrouwen in Besluitvorming,Thematische collectie: Vrouwen in besluitvorming,https://vocabularies.dans.knaw.nl/collections/Project,VrouwenBesluitvorming
https://vocabularies.dans.knaw.nl/collections/ssh/VrouwenCPN,GV: Vrouwen van de CPN,"Thematische collectie: Erfgoed van de Oorlog, Getuigen Verhalen, Project 'Vrouwen van de CPN'",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,VrouwenCPN
https://vocabularies.dans.knaw.nl/collections/ssh/WillyLindwer,Het Willy Lindwer Holocaust Video Archief,"Thematische collectie: Erfgoed van de Oorlog, Het Willy Lindwer Holocaust Video Archief",https://vocabularies.dans.knaw.nl/collections/ssh/ErfgoedOorlog,WillyLindwer
https://vocabularies.dans.knaw.nl/collections/ssh/WOON,Onderzoeken naar de woningmarkt,Thematische collectie: Onderzoeken naar de woningmarkt ( WoON en WBO),https://vocabularies.dans.knaw.nl/collections/Project,WOON
https://vocabularies.dans.knaw.nl/collections/ssh/WUR,Wageningen UR research,Thematic collection: Datasets of Wageningen UR research (WUR),https://vocabularies.dans.knaw.nl/collections/Organization,WUR
https://vocabularies.dans.knaw.nl/collections/ssh/Zoonosen,Onderhandelen over zoönosen in Nederland,Thematische Collectie: Onderhandelen over zoönosen in Nederland (1898-2001),https://vocabularies.dans.knaw.nl/collections/Project,Zoonosen
