"verwervingswijzen","titel"
"ABO","Een inventariserend veldonderzoek door middel van boringen (IVO-O) verkennende fase"
"ABU; ABO","Bureauonderzoek en inventariserend veldonderzoek d.m.v. boringen"
"ABU; AXX","Bureau- en inventariserend veldonderzoek"
"ABU; AXX","Bureauonderzoek (BO) en Inventariserend veldonderzoek (IVO-O)"
"ABU; AXX","Bureauonderzoek en Verkennend booronderzoek"
"ABU; AXX","een archeologisch bureau- en inventariserend veldonderzoek"
"ABU; AXX","Archeologisch bureau- en Inventariserend Veldonderzoek (karterende fase)."
"AXX","Inventariserend Veldonderzoek verkennende en karterende fase"
"ABO","Archeologisch vooronderzoek: een inventariserend veldonderzoek (karterend booronderzoek)"
"ABO","een karterend inventariserend veldonderzoek door middel van grondboringen"
"AOP","Archeologisch onderzoek: opgraving"
"APP","archeologisch vooronderzoek: proefsleuven"
"APP","Inventariserend Veldonderzoek d.m.v. proefsleuven (IVO-P)"
"APP","Waarderend veldonderzoek door middel van proefsleuven"
"ABO","een verkennend inventariserend veldonderzoek door middel van grondboringen"
"ABU; ABO","Een Bureauonderzoek en Inventariserend Veldonderzoek in de vorm van een verkennend en deels karterend booronderzoek"
"ABU; AXX","Archeologisch bureau- en Inventariserend Veldonderzoek (verkennende fase)"
"ABU; AIN","archeologisch vooronderzoek: een bureauonderzoek en veldinspectie"
"ABU; AIN","archeologisch vooronderzoek: een bureauonderzoek met veldtoets"
"ABU; AXX","Archeologisch bureauonderzoek en Inventariserend Veldonderzoek (IVO; verkennende en karterende fase)"
"ABU; AXX","Archeologisch bureauonderzoek & Inventariserend Veldonderzoek karterende fase"
"ADXX","Definitief onderzoek"
"ABO","Karterend veldonderzoek d.m.v. boringen"
"APP","Een Inventariserend Veldonderzoek door middel van Proefsleuven"
"APP","Inventariserend veldonderzoek proefsleuven"
"ABU; ABO","Ruimtelijk advies op basis van bureauonderzoek en inventariserend veldonderzoek door middel van boringen (verkennende fase)"
"ABE","Archeologische Begeleiding conform protocol Opgraven"
"ABO","Een inventariserend veldonderzoek door middel van boringen (IVO-O) verkennende en karterende fase"
"ABU; ABO","Archeologisch Bureauonderzoek & Inventariserend Veldonderzoek (IVO) door middel van boringen"
"ABU; ABO","Archeologisch Bureauonderzoek & Inventariserend Veldonderzoek (IVO) verkennende fase d.m.v. boringen"
"ABU; ABO","Een bureau- en verkennend booronderzoek (IVO-O)"
"ABU; AXX","bureauonderzoek en IVO fase 1"
"ABU; AXX","een bureauonderzoek en inventariserend veldonderzoek"
"ABU; AXX","Een bureauonderzoek en inventariserend veldonderzoek (BO en IVO-O)"
"ABU; AXX","Archeologisch Bureauonderzoek & Inventariserend Veldonderzoek (IVO) karterende fase"
"AXX","archeologisch vooronderzoek: een inventariserend archeologisch onderzoek"
"AXX","Inventariserend archeologisch onderzoek"
"AXX","Inventariserend veldonderzoek (verkennende en karterende fase)"
"AXX","een inventariserend archeologisch onderzoek (waardering)"
"AXX","een waarderend archeologisch onderzoek"
"AXX","een waarderend archeologisch veldonderzoek"
"ABO","Een karterend booronderzoek (IVO-O)"
"AXX","Inventariserend archeologisch veldonderzoek. Karterende fase"
"AXX","Inventariserend veldonderzoek (karterende fase plus)"
"APP","Archeologisch onderzoek: proefsleuven"
"APP","Inventariserend Veldonderzoek (IVO) d.m.v. proefsleuven"
"APP","Inventariserend Veldonderzoek waarderende fase d.m.v. proefsleuven"
"ABE","Archeologisch onderzoek: een archeologische begeleiding"
"ABO","archeologisch vooronderzoek: een inventariserend booronderzoek"
"ABU; ABO","bureauonderzoek en booronderzoek"
"ABU; ABO","Bureauonderzoek en Inventariserend veldonderzoek door middel van boringen"
"ABU; AIN","archeologisch vooronderzoek: een bureauonderzoek en veldtoets"
"ABU; AIN","archeologisch vooronderzoek: een bureauonderzoek en visuele inspectie"
"ABU; AXX","Een Archeologisch Bureauonderzoek en Inventariserend Veldonderzoek (IVO; verkennende fase)"
"ABU; AXX","Een Archeologisch Bureauonderzoek (BO) en Inventariserend Veldonderzoek (IVO) verkennende en karterende fase"
"ABU; AXX","Bureauonderzoek en archeologisch inventariserend veldonderzoek : karterende fase"
"ABU; ABO","Bureauonderzoek en inventariserend veldonderzoek d.m.v. boringen (karterende fase)"
"AIN","Archeologische inspectie"
"AXX","een inventariserend archeologisch onderzoek (kartering)"
"APP","een inventariserend archeologisch onderzoek: proefsleuven"
"ABU; AXX","Ruimtelijk advies op basis van bureauonderzoek en inventariserend veldonderzoek"
"ABE","Archeologische Begeleiding Conform KNA protocol Opgraven"
"ABE","Een Archeologische Begeleiding (AB) conform protocol Opgraven (DO)"
"ABE","een archeologische begeleiding onder protocol opgraven"
"ABO","een inventariserend veldonderzoek door middel van grondboringen"
"ABO","Inventariserend veldonderzoek d.m.v. verkennende boringen"
"ABO","Inventariserend Veldonderzoek door middel van verkennende boringen"
"ABU","Een bureauonderzoek (BO)"
"ABU; ABO","Bureauonderzoek en Inventariserend Veldonderzoek verkennend booronderzoek onder certificaten 4002 en 4003"
"ABU; AXX","archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (verkenning)"
"ABU; AXX","Bureauonderzoek en inventariserend veldonderzoek - verkennende fase"
"ABU; AXX","Een Archeologisch Bureauonderzoek en Inventariserend Veldonderzoek (IVO-O)"
"ABU; AXX","Een Archeologisch Bureauonderzoek en Inventariserend Veldonderzoek (IVO-O)."
"ABU; AXX","archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (verkennende en karterende fase)"
"ABU; ABO","Archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (karterend booronderzoek)"
"ABU; ABO","Archeologisch vooronderzoek: een bureau- en inventariserend veldonderzoek (verkennend en karterend booronderzoek)"
"ABU; AXX","Een bureauonderzoek en inventariserend veldonderzoek in de vorm van een verkennend"
"ABU; NXX","Archeologisch bureauonderzoek en cultuurhistorische inventarisatie"
"AXX","Archeologisch inventariserend veldonderzoek verkennende fase"
"AXX","Inventariserend veldonderzoek (IVO-O)"
"AXX; AOP","Een Inventariserend Veldonderzoek en Opgraving langs de Oude Rijn"
"AXX","een inventariserend en waarderend archeologisch veldonderzoek"
"AXX","Inventariserend veldonderzoek (karterende fase) drinkwaterleiding Harderwijk-Speul"
"AXX","Inventariserend archeologisch onderzoek : karterende fase"
"ABO","Inventariserend veldonderzoek deel karterend booronderzoek"
"ABO","Inventariserend veldonderzoek door middel van boringen (karterende fase)"
"AXX","een inventariserend archeologisch onderzoek (kartering en waardering)"
"APP","Een Archeologisch Inventariserend Veldonderzoek door middel van Proefsleuven (IVO-P)"
"APP","IVO-P"
"ABE","archeologisch toezicht"
"ABE","Archeologische begeleiding rioolvervanging"
"ABE","Archeologische Begeleiding."
"ABE","Begeleiding"
"ABE","Een Archeologische Begeleiding (AB)"
"ABE","Archeologische Begeleiding Protocol Proefsleuven"
"AXX","IVO-O waterleiding Harderwijk-Speuld"
"ABO","archeologisch booronderzoek"
"ABO","Een Inventariserend Veldonderzoek door middel van boringen"
"ABO","Verkennend Booronderzoek"
"ABO","een verkennend en karterend inventariserend veldonderzoek door middel van grondboringen"
"ABU","Archeologisch bureauonderzoek (BO)"
"ABU","Een bureuonderzoek"
"ABU; ABO","Een archeologisch bureauonderzoek (BO) en inventariserend veldonderzoek verkennende fase door middel van boringen (IVO-O)"
"ABU; ABO","Een Bureauonderzoek en Inventariserend Veldonderzoek in de vorm van een verkennend/karterend/waarderend booronderzoek"
"ABU; AXX","Archeologisch bureau- en inventariserend veldonderzoek"
"ABU; AXX","Een archeologisch bureauonderzoek (BO) en inventariserend veldonderzoek (IVO verkennende fase)"
"ABU; AXX","Een archeologisch bureauonderzoek (BO) en inventariserend veldonderzoek (IVO) verkennende fase)"
"ABU; AXX","Een archeologisch bureauonderzoek (BO) en inventariserend veldonderzoek verkennende fase (IVO-O)"
"ABU; AXX","Een archeologisch bureauonderzoek en inventariserend veldonderzoek (verkennende fase)"
"ABU; AXX","Archeologisch bureauonderzoek en inventariserend veldonderzoek verkennende/karterende fase"
"AXX","archeologisch inventariserend veldonderzoek"
"AXX","een inventariserend archeologisch onderzoek (verkenning)"
"AXX","Inventariserend veldonderzoek deel verkennend en karterend"
"AXX","Een Inventariserend archeologisch onderzoek Kartering PLUS"
"AXX","Inventariserend veldonderzoek d.m.v boringen (karterende fase)"
"APP","een inventariserend archeologisch onderzoek (proefsleuven)"
"APP","een inventariserend veldonderzoek in de vorm van een proefsleuf"
"APP","Inventariserend Veldonderzoek-proefsleuven"
