5ea3e45e-834c-448a-aedd-87cd04d22cf3,"Eindhoven, Archeologisch Centrum Rapport","eindhoven[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologisch[^a-záàäâçčćèeêëïíóôöüûuú0-9]+centrum[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
1d653e74-51d0-449a-bf75-c10c2f01bce2,"Ex-situ rapport","ex[^a-záàäâçčćèeêëïíóôöüûuú0-9]+situ[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
52798c8a-e5cd-48f0-a1d4-6c881e1164e5,"Gent, Rapport Universiteit","gent[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport[^a-záàäâçčćèeêëïíóôöüûuú0-9]+universiteit"
9de2dcf5-669e-402a-bb10-2c57ca98706b,"Geo-Logical-reeks","geo[^a-záàäâçčćèeêëïíóôöüûuú0-9]+logical[^a-záàäâçčćèeêëïíóôöüûuú0-9]+reeks"
260d84c4-34e2-4c79-86fb-ee5b598b5fc2,"Greenhouse Advies","greenhouse[^a-záàäâçčćèeêëïíóôöüûuú0-9]+advies"
86db4707-a7e7-4ab9-b546-a8f1fa356a08,"Greenhouse Advies","greenhouse[^a-záàäâçčćèeêëïíóôöüûuú0-9]+advies"
594d74d3-1cff-4a2f-adb5-e1830c24be40,"Grondsporen","grondsporen"
0f6cab08-d72a-4cdc-adcb-b12456a2e793,"Groningen, Rapport Universiteit Groningen","groningen[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport[^a-záàäâçčćèeêëïíóôöüûuú0-9]+universiteit[^a-záàäâçčćèeêëïíóôöüûuú0-9]+groningen"
b7f8cf1f-dc4f-45aa-8703-0a3961cd6caa,"Grontmij Archeologische Rapporten","grontmij[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologische[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapporten"
9a162157-c2e6-4f96-8e44-ebb9b0c9a3c9,"Grontmij-rapport","grontmij[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
5bd6a150-3bb9-4dcf-bacb-fa0c96de82c7,"Haarlems Bodemonderzoek","haarlems[^a-záàäâçčćèeêëïíóôöüûuú0-9]+bodemonderzoek"
d6fbca58-4903-4ae6-82b6-403d73d597c8,"Haarlems Jaarboek","haarlems[^a-záàäâçčćèeêëïíóôöüûuú0-9]+jaarboek"
6c3d643d-ebef-4a22-b09f-aa1a0a1bc3b7,"Hamaland rapport","hamaland[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
05bd6794-9d8a-4715-8c4a-2ba92cd7b013,"Hazenberg Archeologie rapport","hazenberg[^a-záàäâçčćèeêëïíóôöüûuú0-9]+ar(ch|g)a?eologie[^a-záàäâçčćèeêëïíóôöüûuú0-9]+rapport"
